OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area
103,"(4716647.799259628, 2254321.8306049937)",0508-2,Belalc�zar,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,75.32357554516545,158.78532587581773

104,"(4716770.862355815, 2250878.961504737)",0408-1,San Pedro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,509.82857688203967,2735.8807158390964

105,"(4716868.192554703, 2251487.7184026903)",0408-2,San Pedro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,541.9141277132948,3017.681507518581

106,"(4710514.349511609, 2244362.9668024285)",7007-1,San Jos� del Manzanillo,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,129.94593729128434,421.6487650145431

107,"(4710455.340787956, 2244156.1989925834)",7007-2,San Jos� del Manzanillo,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,51.81785981071209,25.85979369748247

108,"(4710809.773855852, 2244483.9245113395)",7007-4,San Jos� del Manzanillo,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,644.1601897545062,5480.995514353966

109,"(4710486.473293909, 2244305.1828945475)",7008-1,El Jard�n,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,568.7195825219222,5352.1987014490605

110,"(4719178.709357881, 2248128.281194167)",0813-49,Villatina,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,129.21579372271918,103.67272194619555

111,"(4717016.693837489, 2253383.934600906)",0402-2,San Isidro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,66.0866067256027,192.0405204534665

112,"(4716781.653330405, 2253392.201568006)",0402-3,San Isidro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,54.986183079115115,167.71539227952218

